upc,description,cost,normal_price,special_price,specialcost,pricemethod,groupprice,quantity,start_date,end_date,departmentId,sectionId,vendorId,pack,size,tax,fee,foodstamp,scale,active,wicable,validage,PLU,UnitOfMeasure,case_cost,QuantityOnHand,dept_name,section_name,vendor_name,tareweight,linkedUpc,expiration_date,cert_code,deleted,HideFromECommerce,discount,LowInventoryAlert,ReOrderQuantity,ProductCode,EPlumLabelFormatNo,EPlumDeptNo,ScaleByCount,ECommerceId,ECommercePackWeight,ECommercePrice,ECommerceSalePrice,ECommerceOnSale,ECommerceUnitDescription,ECommerceDescription,ECommerceSummary,CasScaleIngredients,CasScaleNutrition,CasScalePluType
0000000000001,Green Beans,2.7500,3.4900,,,,,,,,51,,6,,,,,False,True,True,0,,,,0.00,6.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,4,,,,,,,,,,
0000000000009,Idaho Potatoes,0.3500,0.7900,,,,,,,,51,,,,,,,False,True,True,0,,,,,2.0700,Veggies,,,,,,,False,False,1,3,,,,,False,5,,,,,,,,,,
0000000000013,Carrots,0.5000,0.9900,,,,,,,,51,,6,,,,,False,True,False,0,,,,,0.8900,Veggies,,Carlo Junior (Veggie),,,,,False,False,0,,,,,,False,6,,,,,,,,,,
0000000000060,Lemon small (each),0.2000,0.4000,,,,,,,,51,,16,,,,,False,False,True,0,,,,,-2.0000,Veggies,,Al-Haramain,,,,,False,False,1,4,,,,,False,7,,,,,,,,,,
0000000000065,Bottle Gourd,1.3100,2.4900,,,,,,,,51,,,,,,,False,True,True,0,,,,,-42.7300,Veggies,,,,,,,False,False,1,,,,,,False,8,,,,,,,,,,
0000000000075,Lemon big (each),,0.6000,,,,,,,,51,,6,,,,,False,False,True,,,,,,66.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,9,,,,,,,,,,
0000000000205,Sinqua - Ridge gourd (Turia),1.8300,2.7900,,,,,,,,51,,6,,,,,False,True,False,0,,,,,7.5000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,10,,,,,,,,,,
0000000000206,Yucca Root,2.2300,2.9900,,,,,,,,51,,,,,,,False,True,False,0,,,,,1.0000,Veggies,,,,,,,False,False,1,,,,,,False,11,,,,,,,,,,
0000000000207,Eddos,1.3400,2.4900,,,,,,,,51,,,,,,,False,True,False,0,,,,,-5.2100,Veggies,,,,,,,False,False,1,,,,,,False,12,,,,,,,,,,
0000000000208,Squash Donqua,2.5900,3.3700,,,,,,,,51,,,,,,,False,True,False,0,,,,,,Veggies,,,,,,,False,False,1,,,,,,False,13,,,,,,,,,,
0000000000209,Squash yellow,0.6900,0.9000,,,,,,,,51,,,,,,,False,True,False,0,,,,,-1.3700,Veggies,,,,,,,False,False,0,,,,,,False,14,,,,,,,,,,
0000000000210,White / Daikon Radish,1.1000,1.7900,,,,,,,,51,,6,,,,,False,True,False,0,,,,,3.3300,Veggies,,Carlo Junior (Veggie),,,,,False,False,0,,,,,,False,15,,,,,,,,,,
0000000000211,Yukon gold potato small,0.8600,1.2900,,,,,,,,51,,6,,,,,False,True,False,0,,,,,3.2000,Veggies,,Carlo Junior (Veggie),,,,,False,False,0,2,,,,,False,16,,,,,,,,,,
0000000000390,Irani Samosa,0.5000,0.7500,,,,,,,,98,,18,,,,,False,False,True,,,,,,-353.0000,Hot Foods,,Goat Restaurant,,,,,False,False,1,,,,,,False,17,,,,,,,,,,
0000000000501,White Pumpkin,1.2500,2.6900,,,,,,,,51,,,,,,,False,True,True,0,,,,,6.0000,Veggies,,,,,,,False,False,1,3,,,,,False,18,,,,,,,,,,
0000000000502,Plantain,1.6900,2.4900,,,,,,,,51,,,,,,,False,True,True,,,,,,3.4400,Veggies,,,,,,,False,False,1,,,,,,False,19,,,,,,,,,,
0000000000503,Masala Vada,0.7500,1.0000,,,,,,,,98,,,,,,,False,False,True,,,,,,,Hot Foods,,,,,,,False,False,1,,,,,,False,20,,,,,,,,,,
0000000000576,Doseki,1.2700,2.4900,,,,,,,,51,,6,,,,,False,True,True,,,,,,24.6300,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,21,,,,,,,,,,
0000000000794,Avocado,0.7500,1.4900,,,,,,,,51,,6,,,,,False,False,True,,,,,,15.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,4,,,,,False,1715,,,,,,,,,,
0000000001025,Banana Flower,1.4900,1.5000,,,,,,,,51,,6,,,,,False,True,True,,,,,,30.7100,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,22,,,,,,,,,,
0000000001027,Basil (per lb),1.8300,1.9900,,,,,,,,51,,,,,,,False,True,True,,,,,,1.0000,Veggies,,,,,,,False,False,1,,,,,,False,23,,,,,,,,,,
0000000001030,Bean Sprout,1.2500,1.9900,,,,,,,,51,,,,,,,False,True,True,,,,,,6.0000,Veggies,,,,,,,False,False,1,,,,,,False,24,,,,,,,,,,
0000000001031,Beet Root (per lb),3.0600,4.4900,,,,,,,,51,,6,,,,,False,True,True,0,,,,,6.9400,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,2,,,,,False,25,,,,,,,,,,
0000000001055,Cabbage (each),1.2500,1.9900,,,,,,,,51,,16,,,,,False,False,True,,,,,,0.0000,Veggies,,Al-Haramain,,,,,False,False,1,1,,,,,False,26,,,,,,,,,,
0000000001061,Carrot 1lb bag,1.0000,1.7900,,,,,,,,51,,6,,,,,False,False,True,,,,,,10.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,27,,,,,,,,,,
0000000001067,Cauliflower,2.8300,3.9900,,,,,,,,51,,6,,,,,False,False,True,0,,,,,4.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,1,,,,,False,28,,,,,,,,,,
0000000001073,Chayote (per lb),2.3900,2.7900,,,,,,,,51,,6,,,,,False,True,True,,,,,,-0.2400,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,29,,,,,,,,,,
0000000001089,Cilantro (bunch),0.3300,0.8900,,,,,,,,51,,16,,,,,False,False,True,0,,,,,-21.0000,Veggies,,Al-Haramain,,,,,False,False,1,4,,,,,False,30,,,,,,,,,,
0000000001092,Coconut (each),2.4900,3.4900,,,,,,,,51,,6,,,,,False,False,True,0,,,,,0.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,31,,,,,,,,,,
0000000001104,Fresh Corn (pack),1.0000,1.5900,,,,,,,,51,,,,,,,False,False,True,0,,,,,0.0000,Veggies,,,,,,,False,False,1,,,,,,False,32,,,,,,,,,,
0000000001114,Curry Leaves (bunch),1.0000,1.7900,,,,,,,,51,,6,,,,,False,False,True,,,,,,-53.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,33,,,,,,,,,,
0000000001142,Ginger Root (small),,3.4900,,,,,,,,51,,6,,,,,False,True,True,0,,,,,-21.8100,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,34,,,,,,,,,,
0000000001147,Garlic,1.8300,4.4900,,,,,,,,51,,,,,,,False,True,True,,,,,,33.3500,Veggies,,,,,,,False,False,1,,,,,,False,35,,,,,,,,,,
0000000001148,Ginger Root (big),2.0000,2.7900,,,,,,,,51,,6,,,,,False,True,True,0,,,,,5.5300,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,36,,,,,,,,,,
0000000001159,Green Mango,1.8500,3.9900,,,,,,,,51,,6,,,,,False,True,True,,,,,,1.3100,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,3,,,,,False,37,,,,,,,,,,
0000000001162,Green Pepper (each),0.3000,0.5000,,,,,,,,51,,6,,,,,False,False,True,,,,,,21.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,4,,,,,False,38,,,,,,,,,,
0000000001178,Karela / Indian Bittermelon,2.4800,3.4900,,,,,,,,51,,6,,,,,False,True,True,0,,,,,7.0400,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,2,,,,,False,39,,,,,,,,,,
0000000001180,Indian Eggplant FL,2.5000,2.9900,,,,,,,,51,,6,,,,,False,True,True,,,,,,2.1500,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,40,,,,,,,,,,
0000000001182,Jackfruit,,1.9900,,,,,,,,51,,6,,,,,False,True,True,,,,,,-15.6100,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,41,,,,,,,,,,
0000000001205,Lime (each),0.1300,0.4000,,,,,,,,51,,,,,,,False,False,True,,,,,,7.0000,Veggies,,,,,,,False,False,1,,,,,,False,42,,,,,,,,,,
0000000001211,Green Chilli Long /lb,,4.7900,,,,,,,,51,,6,,,,,False,True,True,,,,,,16.0700,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,43,,,,,,,,,,
0000000001217,Mango leaves /lb,,1.9900,,,,,,,,51,,6,,,,,False,True,True,,,,,,9.7500,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,44,,,,,,,,,,
0000000001224,Mint (bunch),0.6200,1.2900,,,,,,,,51,,6,13,,,,False,False,True,0,,,,8.00,13.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,1,,,,,False,45,,,,,,,,,,
0000000001252,Okra (per lb),3.9900,4.9900,,,,,,,,51,,6,,,,,False,True,True,0,,,,45.50,11.2400,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,4,,,,,False,46,,,,,,,,,,
0000000001298,Plantain (per lb),1.8300,1.9900,,,,,,,,51,,6,,,,,False,True,True,0,,,,,44.6700,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,47,,,,,,,,,,
0000000001306,Sweet Potato (per lb),,0.9900,,,,,,,,51,,6,,,,,False,True,True,,,,,,2.0900,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,48,,,,,,,,,,
0000000001333,Red Onion (per lb),0.6000,1.9900,,,,,,,,51,,6,,,,,False,True,True,,,,,,-36.2200,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,,,,,,False,49,,,,,,,,,,
0000000001335,Red Onion bag,1.9600,3.4900,,,,,,,,51,,6,12,,,,False,False,True,0,,,,23.50,12.0000,Veggies,,Carlo Junior (Veggie),,,,,False,False,1,4,,,,,False,50,,,,,,,,,,
